id,nombre,precio,calificacion,stock
1,Producto_1,654.99,2,96
2,Producto_2,845.29,1,38
3,Producto_3,323.17,1,44
4,Producto_4,447.61,1,48
5,Producto_5,297.42,2,57
6,Producto_6,521.91,2,50
7,Producto_7,373.2,5,13
8,Producto_8,212.3,1,55
9,Producto_9,986.97,5,79
10,Producto_10,356.66,2,84
11,Producto_11,149.79,5,40
12,Producto_12,541.71,4,84
13,Producto_13,342.27,4,46
14,Producto_14,50.74,3,99
15,Producto_15,513.75,1,70
16,Producto_16,558.13,1,61
17,Producto_17,68.13,2,97
18,Producto_18,777.44,1,23
19,Producto_19,821.09,1,67
20,Producto_20,88.11,3,94
21,Producto_21,975.89,2,42
22,Producto_22,29.17,5,26
23,Producto_23,677.95,4,28
24,Producto_24,844.07,1,68
25,Producto_25,584.05,1,79
26,Producto_26,975.97,2,49
27,Producto_27,421.73,4,76
28,Producto_28,997.94,1,78
29,Producto_29,679.04,4,36
30,Producto_30,248.36,5,26
31,Producto_31,585.68,3,73
32,Producto_32,972.63,1,45
33,Producto_33,140.11,5,31
34,Producto_34,764.3,1,54
35,Producto_35,301.53,4,24
36,Producto_36,972.32,1,73
37,Producto_37,831.39,3,84
38,Producto_38,678.23,5,61
39,Producto_39,856.14,3,74
40,Producto_40,807.22,2,99
41,Producto_41,667.14,4,20
42,Producto_42,659.6,4,29
43,Producto_43,316.1,5,96
44,Producto_44,705.32,1,50
45,Producto_45,430.61,5,40
46,Producto_46,67.25,3,14
47,Producto_47,79.8,5,27
48,Producto_48,529.36,4,75
49,Producto_49,991.94,3,37
50,Producto_50,451.48,2,60
51,Producto_51,526.39,2,87
52,Producto_52,238.68,1,76
53,Producto_53,377.58,2,56
54,Producto_54,366.14,4,11
55,Producto_55,649.2,4,30
56,Producto_56,544.77,4,29
57,Producto_57,795.43,1,62
58,Producto_58,875.1,4,83
59,Producto_59,259.84,3,92
60,Producto_60,819.31,5,99
61,Producto_61,868.54,3,21
62,Producto_62,103.93,2,26
63,Producto_63,949.39,1,81
64,Producto_64,122.1,3,39
65,Producto_65,856.32,1,72
66,Producto_66,632.26,3,22
67,Producto_67,215.34,4,86
68,Producto_68,633.56,5,79
69,Producto_69,879.47,1,99
70,Producto_70,85.99,1,70
71,Producto_71,200.93,2,69
72,Producto_72,820.49,3,13
73,Producto_73,268.14,5,25
74,Producto_74,41.98,5,45
75,Producto_75,413.51,3,40
76,Producto_76,88.33,3,58
77,Producto_77,55.21,5,31
78,Producto_78,315.25,1,41
79,Producto_79,787.87,2,44
80,Producto_80,642.83,5,77
81,Producto_81,589.98,4,77
82,Producto_82,778.51,4,89
83,Producto_83,82.39,5,27
84,Producto_84,767.43,5,99
85,Producto_85,334.42,4,24
86,Producto_86,551.45,1,96
87,Producto_87,320.78,3,46
88,Producto_88,778.29,3,64
89,Producto_89,171.08,5,52
90,Producto_90,708.79,5,89
